Noise Level, Humidity, Temperature (*C),
25.10.00,

23.85,37.00,20.00,

23.53,37.00,20.00,

24.17,37.00,20.00,

23.85,,20.00,

24.17,37.00,20.00,

23.85,37.00,20.00,

24.49,37.00,20.00,

23.85,37.00,20.00,

23.53,37.00,20.00,

24.17,37.00,20.00,

23.85,24.81,37.00,20.00,

24.17,37.00,20.00,

24.81,37.00,20.00,

24.81,37.00,20.00,

24.17,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.81,37.00,20.00,

23.85,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.81,37.00,20.00,

24.49,37.00,20.00,

25.14,37.00,20.00,

24.17,37.00,20.00,

23.85,37.00,20.00,

25.78,37.00,20.00,

25.14,37.00,20.00,

25.46,37.00,20.00,

24.49,37.00,20.00,

26.43,37.00,20.00,

25.46,37.00,20.00,

25.46,37.00,20.00,

28.04,37.00,20.00,

24.17,37.00,20.00,

26.10,37.00,20.00,

24.17,37.00,20.00,

24.81,37.00,20.00,

23.53,37.00,20.00,

23.53,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.81,37.00,20.00,

24.17,37.00,20.00,

24.49,37.00,20.00,

24.81,37.00,20.00,

24.49,37.00,20.00,

23.85,37.00,20.00,

28.36,37.00,20.00,

28.36,37.00,20.00,

25.14,37.00,20.00,

24.49,37.00,20.00,

24.17,37.00,20.00,

26.10,37.00,20.00,

35.77,37.00,20.00,

38.67,37.00,20.00,

40.61,37.00,20.00,

40.93,37.00,20.00,

38.67,37.00,20.00,

31.26,37.00,20.00,

27.71,37.00,20.00,

26.10,37.00,20.00,

29.00,37.00,20.00,

29.33,37.00,20.00,

30.29,37.00,20.00,

27.39,37.00,20.00,

27.71,37.00,20.00,

27.71,37.00,20.00,

26.10,37.00,20.00,

27.07,37.00,20.00,

27.39,37.00,20.00,

29.33,37.00,20.00,

26.43,37.00,20.00,

27.39,37.00,20.00,

26.10,37.00,20.00,

25.46,37.00,20.00,

26.10,37.00,20.00,

25.78,37.00,20.00,

26.75,37.00,20.00,

26.43,37.00,20.00,

38.03,37.00,20.00,

34.48,37.00,20.00,

26.43,37.00,20.00,

27.71,37.00,20.00,

27.71,37.00,20.00,

28.36,37.00,20.00,

34.16,37.00,20.00,

27.07,37.00,20.00,

26.43,37.00,20.00,

27.71,37.00,20.00,

26.75,37.00,20.00,

27.39,37.00,20.00,

27.71,37.00,20.00,

26.75,37.00,20.00,

24.17,37.00,20.00,

24.49,37.00,20.00,

24.17,37.00,20.00,

24.17,37.00,20.00,

23.85,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

24.49,37.00,20.00,

23.53,37.00,20.00,

24.81,37.00,20.00,

23.85,37.00,20.00,

24.81,37.00,20.00,

24.17,37.00,20.00,

24.17,37.00,20.00,

24.81,37.00,20.00,

24.49,37.00,20.00,

23.53,37.00,20.00,

24.17,37.00,20.00,

